Ключ;Значение
Наркомздрав;Народный комиссариат здравоохранения
НКИД;народный комиссариат иностранных дел
НКО;народный комиссариат обороны
НКПС;Народный комиссариат путей сообщения
НКРФ;Народный комиссариат речного флота
НКС;Народный комиссариат (комиссар) связи
НКсвязи;Народный комиссариат связи
НКСГ;Национальный комитет «Свободная Германия»
НКТ;Народный комиссариат торговли
НКТП;Народный комиссариат танковой промышленности
НКФ;Народный комиссариат финансов
НКЭП;Народный комиссариат (комиссар) электропромышленности
НКЮ;Народный комиссариат юстиции
НО;народное ополчение, начальник отдела
НП;наблюдательный пункт
НПП;непосредственная поддержка пехоты
НСДАП;Национал-социалистическая Рабочая партия Германии
НШ;начальник штаба
Нарбанк;Народный банк
Наркомвнудел;Народный комиссариат внутренних дел
Наркомзем;Народный комиссариат земледелия
Наркомпрод;Народный комиссариат продовольствия
Компрод;Народный комиссариат продовольствия
Наркомтруд;Народный комиссариат труда
Наркомюст;Народный комиссариат юстиции
Начособотделарм;начальник особого отдела армии
Начпогуб;начальник губернского политического отдела
Начподив;начальник политического отдела дивизии
Начсекропотдел;начальник секретно-оперативного отдела
Начфинчасти;начальник финансовой части
Наштавойск;начальник штаба войск
Наштаревсовет;начальник штаба Революционного военного совета Республики
наштаревсовресп;начальник штаба Революционного военного совета Республики
наштаресп;начальник штаба Революционного военного совета Республики
О/уполном.;особый уполномоченный
ОА_РКО;отдельная армия ракетно-космической обороны
ОА;отдельная армия
ОАС;основная армейская станция
ОВ;отравляющие вещества
ОВА;общевойсковая академия
ОВК;областной военный комиссариат (комиссар)
ОВО;особый военный округ
ОВС;обозно-вещевая служба
ОГ;оперативная группа
ОГПУ;Объединенное государственное политическое управление
ОГРВП;оперативная группа российских войск в Приднестровье
ОГУ;облегченная громкоговорящая установка
ОД;оперативный дежурный
ОДТЧК;Отдел транспортной чрезвычайной комиссии по борьбе с контрреволюцией и саботажем
ОДЭБ;отдельный дорожно-эксшгуатационный батальон
ОЗС;облегченная звуковещательная станция
ОИУ;окружное интендантское управление
ОИЦ;отдельный измерительный центр
ОК;отдел кадров
ОКАРТУ;окружное артиллерийское управление
ОКВ;(нем. O.K.W. - Oberkommando der Wehrmacht) Верховное командование вермахта
ОКДВА;Отдельная Краснознаменная Дальневосточная армия
ОКИК;отдельный командно-измерительный комплекс
ОКХ;(нем. O.K.H. - Oberkommando des Heeres) Верховное командование сухопотных войск
ОМ;особой мощности
ОНИС;отдельная научно-испытательная станция
ОО;особый отдел
ООН;Организация Объединенных Наций
ОП;опорный пункт
ОПС;отделение почтовой связи
ОРВБ;отдельный ремонтно-восстановительный батальон
ОРПК;особый резерв паровозных колонн
ОРС;отдел рабочего снабжения
ОСАА;Среднеазиатская отдельная армия
ОСГ;отдел снабжения горючим
ОСК;отдельный стрелковый корпус
ОТ;огневая точка
ОУКИК;отдельный учебный командно-измерительный комплекс
ОдВО;Одесский военный округ
Окр.;окружной
Оп.;опись
Оперупр;оперативный отдел штаба армии, оперативное управление
ОрВО;Орловский военный округ
ОсН;особого назначения
Осоавиахим;Общество содействия обороне, авиационному и химическому строительству
Особотдел;особый отдел
ПА;польская армия
ПААС;полевой армейский артиллерийский склад
ПАБ;полевая армейская база
ПАМ;подвижная артиллерийская мастерская (железнодорожная)
ПАП;перегоночный авиационный полк
ПАРМ;подвижная авиационная ремонтная мастерская (автомобильного типа)
ПАХ;полевой автохлебозавод
ПВО_ТС;противовоздушная оборона территории страны
ПВО;противовоздушная оборона
ПВХО;противовоздушная и противохимическая оборона
ПГ;подвижная группа
ПЛ;подводная лодка
ПМП;полковой медпункт
ПНП;передовой наблюдательный пункт
ПНШ;помощник начальника штаба
ПО;передовой отряд
ПОАРМ;политический отдел армии
ПОЗ;подвижные отряды заграждений
ПП;противопехотный
ППГ;полевой подвижной госпиталь
ППС;полевая почтовая станция
ППШ;пистолет-пулемет Шпагина
ПРБ;подвижная ремонтная база
ПСО;последовательное сосредоточение огня
ПСР;партия социалистов-революционеров
ПТ;противотанковый
ПТА;противотанковая артиллерия
ПТАРЗ;подвижный танко-агрегатный ремонтный завод
ПТО;противотанковая оборона (орудие)
ПТР;противотанковое ружье
ПТРЗ;подвижный танко-ремонтный завод
ПУ;пункт управления
ПУАЗО;прибор управления артиллерийским зенитным огнем
ПУР;Политическое управление при Реввоенсовете Республики
ПУрВО;Приволжско-Уральский военный округ
ПФС;продовольственно-фуражная служба
ПХЗ;противохимическая защита
ПХО;противохимическая оборона
ПХП;полевая хлебопекарня
Пехкурсы;пехотные курсы
Поарм;политический отдел армии по борьбе с бандитизмом в Тамбовской губернии
Побуч;политическое управление боевого участка
Политком;политический комиссар
Политпросвет;политико-просветительный отдел
Полком;Полномоченная комиссия ВЦИК
Посевком;посевной комитет
Потребгубсоюз;губернский союз потребительских обществ
Предвыездгубчека;председатель выездной сессии губчека
Предполком;председатель Полномоченной комиссии ВЦИК
ПриВО;Приволжский военный округ
ПрибВО;Прибалтийский военный округ
ПрибОВО;Прибалтийский особый военный округ
Прод...;продовольственный
ПсБ;психологическая борьба
ПсО;психологические операции
Пуокр;Политическое управление военного округа
РА;ракетная армия
РАБ;район авиационного базирования
РАГ;резервная авиационная группа
РВ;ракетные войска
РВГК;резерв Верховного Главнокомандования
РВК;российский воинский контингент
РВСН;ракетные войска стратегического назначения
РВСР;Революционный военный совет Республики
РВТР;Революционный военный трибунал Республики
Реввоентрибунал;Революционный военный трибунал Республики
РГК;резерв Главного командования
РГНИИЦПК;Российский государственный научно-исследовательский испытательный центр подготовки космонавтов
РИК;районный исполнительный комитет
РК;районный комитет
РККА;Рабоче-Крестьянская Красная Армия
РКП(б);Российская Коммунистическая партия (большевиков)
РКП;Рабоче-крестьянское правительство
РО;разведывательный отдел
РОА;Русская освободительная армия
РОМ;районный отдел милиции
РОП;ротный опорный пункт
РОСТА;Российское телеграфное агентство
РОТ;ранцевый огнемет
РС;реактивный снаряд
РСФСР;Российская Советская Федеративная Социалистическая Республика
РТВ;радиотехнические войска
РТО;район технического обслуживания
РФ;Российская Федерация
РЦХИДНИ;Российский Центр хранения и изучения документации истории (новейшей)
РЭП;распределительный эвакопункт
Рабинспекция;рабочая инспекция
Райкомпарт;районный комитет партии
Рау-спирт;районное управление Главного управления государственной спиртовой промышленности
РезФ;Резервный фронт
Реквизотряд;реквизиционный отряд
СА;Советская Армия
САБ;светящая авиационная бомба
САВО;Среднеазиатский военный округ
